,Row,A (mean_all),B (mean_all),C (mean_all),D (mean_all)
0,A (ctrl_sub001_meditation),59.5357264178426,65.7267368956667,60.1356362327531,78.2646704050952
1,B (ctrl_sub001_meditation),26.0826012719119,62.1460732018411,87.1566130730845,13.2656850179434
2,C (ctrl_sub001_meditation),0.485488660217967,9.44093150951053,31.3413707379654,16.6628384376198
3,D (ctrl_sub001_meditation),42.1179922189516,13.7310285570191,3.89646468982534,88.6343737647287
4,A (ctrl_sub002_meditation),92.6464821399249,6.35088207953165,47.9445081147937,36.1570213154347
5,B (ctrl_sub002_meditation),4.60190254272927,63.561498984174,8.80319375468113,59.8621162038413
6,C (ctrl_sub002_meditation),53.5160955138533,76.4106720251068,84.5222019126838,54.3513416356686
7,D (ctrl_sub002_meditation),49.6086299586742,18.9821276636147,8.93773619912623,91.9441580484976
8,A (ctrl_sub003_meditation),57.3141804080503,0.158167876767381,1.55543176113898,50.1397941133582
9,B (ctrl_sub003_meditation),39.4196609513826,82.5361017169933,66.8004332553931,59.5583168013128
10,C (ctrl_sub003_meditation),87.5720472934599,24.1172673374313,71.8211209120625,41.8577217738183
11,D (ctrl_sub003_meditation),0.0306241848080699,29.8070614992539,0.468913045067731,42.867624496813
12,A (ctrl_sub004_meditation),67.1230858702695,26.3210257647099,24.0066595049311,91.141077599283
13,B (ctrl_sub004_meditation),0.10456441071,58.181681449032,6.00088696676428,33.6217899465027
14,C (ctrl_sub004_meditation),44.2619783863405,80.4013258494306,79.7450646787438,51.0701223432846
15,D (ctrl_sub004_meditation),35.4443353843906,59.4588616211937,26.5125437781799,88.3910114870025
16,A (ctrl_sub005_meditation),93.782067469178,5.903881700141,47.9664305517855,35.8503751482433
17,B (ctrl_sub005_meditation),8.77550543451135,79.1463563279787,70.4898360664817,11.0116418065167
18,C (ctrl_sub005_meditation),71.763450227286,59.0261452425543,83.8756903838384,58.3520504794334
19,D (ctrl_sub005_meditation),67.3627944131573,29.5038800094738,25.3355478199005,94.7527644591529
20,A (ctrl_sub006_meditation),90.9734341231027,5.59106679170451,56.3191601529708,25.5668042537658
21,B (ctrl_sub006_meditation),13.105348566479,54.576919183265,5.5464294590259,0.962693575051822
22,C (ctrl_sub006_meditation),46.7557684578396,80.7288329803729,87.1774231478993,47.7171952112413
23,D (ctrl_sub006_meditation),19.8764905172711,2.27923551518449,0.985817573483583,65.7462133851807
24,A (ctrl_sub007_meditation),79.8433317051883,0.243231978731918,15.4060893432204,29.6962724155907
25,B (ctrl_sub007_meditation),19.1529883724996,55.5941944149447,12.6833659651948,83.235859319998
26,C (ctrl_sub007_meditation),51.3146832163278,78.3446723621563,87.6708143616052,50.5785025410427
27,D (ctrl_sub007_meditation),84.3115931326765,33.3971963821074,44.8700718475569,86.5785845976685
28,A (ctrl_sub008_meditation),81.4905672588744,43.6363879125543,75.4556153495068,59.0179585383634
29,B (ctrl_sub008_meditation),43.5770655257692,80.3312399722843,65.6630840087169,64.8300973624362
30,C (ctrl_sub008_meditation),33.3703493134434,43.2824406815271,89.8737438014386,8.13835992432803
31,D (ctrl_sub008_meditation),62.4472539783794,27.2902382484179,21.1618600153766,93.2797606374406
32,A (ctrl_sub009_meditation),30.786754346625,55.6589004984212,91.2575624241512,11.9276180422213
33,B (ctrl_sub009_meditation),2.84203600782279,90.9704737275186,35.8071612360091,28.4268235019745
34,C (ctrl_sub009_meditation),4.69486609662804,6.46402689867445,47.8978730274602,7.94137278180785
35,D (ctrl_sub009_meditation),76.6107689246117,51.7563430691226,76.74776875488,62.5037470356883
36,A (ctrl_sub010_meditation),77.0311145072165,10.9617096157803,18.7381451669142,79.781663282557
37,B (ctrl_sub010_meditation),1.53365021356888,68.280652357047,56.3386821209957,2.63555795482891
38,C (ctrl_sub010_meditation),42.9701832862124,21.1316590514285,85.7424876335488,3.5325576142922
39,D (ctrl_sub010_meditation),54.3249185421574,77.4354171320154,69.5035249055009,72.4915640165913
40,A (ctrl_sub011_meditation),40.4537681980802,20.3972924566519,3.76526771690336,0.114821011714204
41,B (ctrl_sub011_meditation),26.3241146703612,84.9342372146334,41.0735478431162,73.5035187054154
42,C (ctrl_sub011_meditation),83.8801575531179,35.2308877693546,85.7457411858458,41.2762933206854
43,D (ctrl_sub011_meditation),67.9179400869848,2.66039731869377,7.43383293637323,69.5094577383075
44,A (ctrl_sub012_meditation),89.7571554524895,21.9057134992794,77.4141581038402,35.7062889002968
45,B (ctrl_sub012_meditation),56.3615830809928,77.1558298765137,80.4759876316144,62.6292361503703
46,C (ctrl_sub012_meditation),8.84984883566178,20.0737888231124,66.1716467126927,1.38678496517492
47,D (ctrl_sub012_meditation),46.6406557926603,36.5523004640142,16.3355150637724,98.7327114209354
48,A (ctrl_sub013_meditation),90.0748565637695,0.765163777078793,33.1382257032142,29.6015707253041
49,B (ctrl_sub013_meditation),16.5789890978676,92.7693585282475,73.4572564080434,27.3240762424255
50,C (ctrl_sub013_meditation),73.2763836411854,51.0011551352725,52.443463990501,88.5618228376794
51,D (ctrl_sub013_meditation),15.3145363148517,17.3164958417877,0.101496558036892,77.5478236355074
52,A (ctrl_sub014_meditation),92.0560658401244,9.74887552790305,61.4049565558289,30.9810959753924
53,B (ctrl_sub014_meditation),0.201167371026871,86.1244200081529,36.2931341949453,12.5643172321464
54,C (ctrl_sub014_meditation),48.2038692877575,78.5684455913076,57.6102568711592,80.2563036288344
55,D (ctrl_sub014_meditation),71.6814757506822,12.8017544482423,16.3572905287258,84.491223650421
56,A (ctrl_sub017_meditation),10.1216339624761,4.73652291452698,20.0657932768963,14.9629015178036
57,B (ctrl_sub017_meditation),3.05244789993475,83.9339390723164,58.4867643471939,9.29167311466197
58,C (ctrl_sub017_meditation),66.8969144380723,41.3075950889503,95.31168769709,27.1704535567361
59,D (ctrl_sub017_meditation),62.7053663132797,53.7071135007679,42.987377735886,93.32657764048
60,A (ctrl_sub018_meditation),72.4529548689168,3.50101624878213,14.39240861142,58.7704920510691
61,B (ctrl_sub018_meditation),19.2054057284434,37.8771796169956,7.0647428475155,76.9052164853216
62,C (ctrl_sub018_meditation),59.1788062839442,65.6094408512825,78.5868017701682,56.3803419100834
63,D (ctrl_sub018_meditation),47.8492490391479,16.8965260046484,9.23623196640237,82.8339192815419
64,A (ctrl_sub019_meditation),86.7333068064273,40.0721786011148,70.3256985130173,65.1902327562938
65,B (ctrl_sub019_meditation),13.0857811184484,95.0611985343916,46.1086841650132,47.8467117018036
66,C (ctrl_sub019_meditation),51.5016471207374,62.902310959334,42.085753462094,90.6763781077463
67,D (ctrl_sub019_meditation),39.3059020861849,4.43061862121424,0.711001742782965,76.5395600477788
68,A (ctrl_sub020_meditation),62.3861901233868,6.24904564613116,13.0707688871044,5.70607538056492
69,B (ctrl_sub020_meditation),70.2323901425152,55.8664572696741,55.3847172826494,87.0276918844063
