,Dataset,Subject,Group,Condition,MeanDuration_A,MeanDuration_B,MeanDuration_C,MeanDuration_D,MeanDurationAll,MeanOccurrence_A,MeanOccurrence_B,MeanOccurrence_C,MeanOccurrence_D,MeanOccurrenceAll,Coverage_A,Coverage_B,Coverage_C,Coverage_D,MeanGFP_A,MeanGFP_B,MeanGFP_C,MeanGFP_D,OrgTM_A->B,OrgTM_A->C,OrgTM_A->D,OrgTM_B->A,OrgTM_B->C,OrgTM_B->D,OrgTM_C->A,OrgTM_C->B,OrgTM_C->D,OrgTM_D->A,OrgTM_D->B,OrgTM_D->C,psi/ctrl
40,ctrl_sub214_meditation,sub214,meditator,meditation,0.043242,0.03963,0.036828,0.040816,0.040225,6.8504,6.0246,6.0621,5.9232,24.8604,29.5243,23.8924,22.4234,24.1599,4.4784,4.3606,4.6471,5.1538,9.3069,9.2161,9.0194,9.4885,7.5212,7.2185,9.2312,7.6271,7.5363,8.8529,7.3093,7.6725,ctrl
41,ctrl_sub215_meditation,sub215,meditator,meditation,0.046793,0.049442,0.04919,0.051857,0.049434,4.5062,5.1538,5.1538,5.4151,20.2289,21.1325,25.481,25.3565,28.0301,6.8251,7.4042,7.3684,7.257,8.0143,7.1697,7.0758,7.2447,7.958,10.2853,7.8453,8.277,9.3656,7.226,9.1779,10.3604,ctrl
42,ctrl_sub216_meditation,sub216,meditator,meditation,0.048735,0.036855,0.03717,0.04528,0.042403,7.1311,5.581,5.6056,5.2653,23.583,34.5499,20.7085,20.9685,23.7731,5.0818,4.4707,4.9007,5.9774,10.7405,9.9546,9.5704,10.5484,7.1952,5.9029,9.9197,7.073,6.7936,9.78,5.868,6.6539,ctrl
43,ctrl_sub217_meditation,sub217,meditator,meditation,0.043146,0.041568,0.051605,0.045605,0.045669,5.2382,5.2487,5.911,5.4988,21.8967,22.656,21.9081,30.3567,25.0791,7.2101,7.1153,8.296,7.4061,7.4372,8.3548,8.1455,7.1636,9.1919,7.5821,9.1758,8.4675,9.3529,7.5821,8.0811,9.4656,ctrl
44,ctrl_sub218_meditation,sub218,meditator,meditation,0.034354,0.036076,0.039855,0.034471,0.036412,6.0601,6.8551,7.9862,6.5624,27.4638,20.8839,24.7424,31.6859,22.6878,3.3522,3.5499,3.5383,3.4574,6.8511,8.6166,6.5876,6.9565,10.6192,7.3781,8.8933,10.2767,9.9209,6.1924,7.8524,9.8551,ctrl
45,ctrl_sub219_meditation,sub219,meditator,meditation,0.046302,0.059615,0.05406,0.055824,0.054422,3.9654,5.248,4.4805,4.681,18.375,18.4746,31.1896,24.2275,26.1083,6.744,7.3377,7.7793,8.1189,7.9601,6.8498,6.7557,8.4306,9.315,10.8205,6.5864,9.8984,7.9037,6.5676,10.7076,8.2047,ctrl
46,ctrl_sub220_meditation,sub220,meditator,meditation,0.053464,0.053429,0.053627,0.059094,0.054953,4.5378,4.3784,4.5732,4.7079,18.1973,24.285,23.4168,24.5461,27.7522,6.2486,6.5902,6.5825,7.6698,7.7163,9.1582,8.0865,7.5214,7.5214,9.0218,8.8659,7.5019,8.788,8.5737,8.788,8.4567,ctrl
47,ctrl_sub221_meditation,sub221,meditator,meditation,0.04386,0.044765,0.045162,0.041742,0.043919,5.9149,5.4924,5.9743,5.3877,22.7693,25.9441,24.5669,26.9487,22.5404,5.4823,5.5038,5.8444,5.3778,8.6977,9.3726,7.9153,8.1147,8.7744,7.225,9.2192,8.5136,8.5136,8.6516,6.9029,8.0994,ctrl
48,ctrl_sub222_meditation,sub222,meditator,meditation,0.043557,0.048901,0.045414,0.052531,0.047841,4.773,5.243,5.0827,5.8041,20.9027,20.8718,25.6162,23.1317,30.3802,3.9996,3.9995,4.1486,4.1847,7.1217,7.9944,7.6977,6.8424,7.4009,10.857,7.942,7.1566,9.1814,8.0817,10.8221,8.9021,ctrl
49,ctrl_sub223_meditation,sub223,meditator,meditation,0.045706,0.050251,0.049473,0.048038,0.048415,4.7922,5.2508,5.1228,5.489,20.6547,21.9547,26.3472,25.3223,26.3758,4.5204,5.1038,4.7159,4.8305,7.2192,7.6499,8.3563,7.6844,7.96,9.7174,7.5465,8.7698,8.5114,7.96,9.4245,9.2006,ctrl
50,ctrl_sub224_meditation,sub224,meditator,meditation,0.041201,0.04406,0.048901,0.045249,0.044992,4.8068,5.6283,5.5933,6.1981,22.2264,19.8821,24.8203,27.2589,28.0388,4.5018,4.6353,5.2505,4.7616,6.7978,7.2384,7.5688,6.8922,8.4815,9.9449,6.4516,8.3399,10.3855,8.2769,10.181,9.4414,ctrl
51,ctrl_sub225_meditation,sub225,meditator,meditation,0.059818,0.058696,0.056663,0.058331,0.058371,4.1837,4.4393,4.2942,4.2147,17.1319,25.0058,26.052,24.3565,24.5856,9.1809,9.014,9.0114,9.3861,8.2308,7.7668,8.4325,8.5132,9.0176,8.372,7.8677,9.3807,7.8071,8.0492,8.2913,8.2711,ctrl
52,ctrl_sub226_meditation,sub226,meditator,meditation,0.054291,0.049663,0.060387,0.05046,0.053955,4.9763,4.109,4.9346,4.5142,18.5341,27.0105,20.4695,29.685,22.8351,7.0219,6.8446,7.4131,6.8189,7.9918,10.4918,8.4221,8.0943,7.4385,6.6189,9.9385,7.2951,9.3443,8.791,6.9057,8.668,ctrl
53,ctrl_sub227_meditation,sub227,meditator,meditation,0.03801,0.04008,0.037658,0.035635,0.037862,6.0822,6.7949,7.0099,6.5245,26.4115,23.114,27.1579,26.4052,23.3229,3.2103,3.4043,3.362,3.2778,7.5719,8.4132,7.0577,7.9224,9.3012,8.4132,7.8523,9.4181,9.2779,7.2447,8.6469,8.8806,ctrl
54,ctrl_sub228_meditation,sub228,meditator,meditation,0.064085,0.066826,0.073283,0.063927,0.067218,3.5151,3.7435,4.0133,3.6051,14.877,22.5584,25.0205,29.3405,23.0805,7.9787,8.2132,8.8081,8.2378,8.4691,8.7017,6.4449,8.1666,10.0279,6.98,7.8874,8.2597,10.819,7.5849,8.4225,8.2364,ctrl
55,ctrl_sub229_meditation,sub229,meditator,meditation,0.044744,0.042837,0.041694,0.054563,0.046319,5.4218,4.8956,5.2336,6.0385,21.5896,24.2947,21.042,21.9212,32.7421,6.8748,6.6992,6.7637,8.1541,6.6516,8.4921,9.9613,7.0714,6.7646,8.8473,8.4598,6.6193,9.1702,9.5899,9.3962,8.9764,ctrl
56,ctrl_sub230_meditation,sub230,meditator,meditation,0.044879,0.039685,0.04769,0.044327,0.04438,5.5379,4.9964,6.3415,5.6567,22.5326,24.842,19.9294,30.1525,25.0761,6.4968,5.681,6.5578,6.609,6.7783,9.9581,7.8486,6.4061,8.1123,7.647,10.2839,8.2364,9.6169,7.8796,7.1661,10.0667,ctrl
57,ctrl_sub231_meditation,sub231,meditator,meditation,0.045552,0.054321,0.044864,0.04992,0.048865,4.7093,5.7403,5.1968,4.818,20.4644,21.5132,31.0588,23.3963,24.0317,6.1374,6.9161,6.3455,7.7312,8.5749,7.906,6.5512,8.5749,10.1698,9.2608,7.8031,9.8611,7.7517,6.6198,9.6381,7.2886,ctrl
58,ctrl_sub232_meditation,sub232,meditator,meditation,0.031555,0.032823,0.035274,0.034411,0.033671,6.4194,6.8738,8.439,7.9666,29.6988,20.3327,22.5944,29.6922,27.3807,4.0805,4.1736,4.278,4.2618,5.9295,8.0073,7.6671,5.6987,9.1981,8.2382,8.1652,9.3317,10.9356,7.7521,7.8736,11.2029,ctrl
59,ctrl_sub233_meditation,sub233,meditator,meditation,0.059054,0.052947,0.050365,0.056576,0.055062,5.0804,4.3995,3.8846,4.797,18.1614,29.9306,23.3269,19.6285,27.114,5.9686,5.7414,5.647,5.8993,9.6308,8.1842,10.1637,9.2501,5.9193,9.0598,7.9749,6.2238,7.1945,10.7347,8.3746,7.2897,ctrl
60,ctrl_sub001_music,sub001,non meditator,music,0.067365,0.062583,0.061912,0.062913,0.06381,4.2658,3.7748,3.6935,3.9375,15.6716,28.6907,23.6381,22.8885,24.7826,7.662,8.0242,8.3164,7.8207,8.6262,7.0288,11.5815,10.6829,7.3083,6.0903,7.3882,8.7061,7.4681,9.1653,6.7492,9.2053,ctrl
61,ctrl_sub002_music,sub002,non meditator,music,0.058504,0.051783,0.049389,0.05744,0.05446,5.031,4.5148,4.2886,4.5276,18.362,29.3614,23.4218,21.2582,25.9586,6.889,6.3309,6.5166,6.5957,9.0514,8.5823,9.7637,9.3815,7.2967,7.9222,9.0167,7.3662,6.9666,8.9993,8.1828,7.4705,ctrl
62,ctrl_sub003_music,sub003,non meditator,music,0.035524,0.041128,0.037818,0.037148,0.038014,5.9043,7.0362,6.5162,6.8493,26.3059,21.0482,28.8288,24.6495,25.4736,5.1656,5.5225,5.3418,5.606,8.1025,7.0023,7.3259,7.986,8.7238,10.057,6.8988,9.2156,8.6591,7.5718,9.4098,9.0474,ctrl
63,ctrl_sub004_music,sub004,non meditator,music,0.07196,0.071033,0.07375,0.066734,0.070901,3.9187,2.6021,3.8629,3.7204,14.1042,28.1877,18.4829,28.4588,24.8706,10.9197,9.9825,11.7992,11.2959,6.4148,10.435,10.9402,6.0633,7.1617,5.2285,10.7865,6.3928,10.2153,10.9183,5.6459,9.7979,ctrl
64,ctrl_sub005_music,sub005,non meditator,music,0.043904,0.040444,0.046706,0.043895,0.043854,5.8934,5.2769,6.1246,5.5081,22.803,25.873,21.4205,28.5294,24.177,4.2098,4.0025,4.6293,4.6356,8.2528,9.4522,8.0917,8.5034,7.9484,6.6953,9.5238,7.8768,9.3985,7.8231,7.0175,9.4164,ctrl
65,ctrl_sub006_music,sub006,non meditator,music,0.044744,0.04326,0.045916,0.042898,0.044204,5.741,5.654,5.5992,5.6282,22.6224,25.6741,24.4825,25.6679,24.1755,3.97,4.1065,4.2818,3.9378,8.2514,8.3939,8.7359,8.7359,8.0661,8.1659,8.1374,8.6362,7.9806,8.4937,8.0946,8.3084,ctrl
66,ctrl_sub007_music,sub007,non meditator,music,0.055277,0.054864,0.045809,0.047323,0.050953,5.1197,5.0107,4.8004,4.6952,19.626,28.2162,27.4167,22.0834,22.2837,4.7004,4.9627,4.5652,4.6409,8.9729,8.9535,8.1783,8.7597,8.1783,8.5853,8.7791,8.4302,7.2674,8.469,8.062,7.3643,ctrl
67,ctrl_sub008_music,sub008,non meditator,music,0.062739,0.064234,0.058153,0.051819,0.059679,4.4195,4.5254,4.3043,3.507,16.7563,27.6837,29.0019,25.0523,18.2621,10.2131,9.6923,8.8523,8.9911,9.7602,9.9647,6.6555,10.3551,9.1839,7.4735,9.1281,9.7788,6.7856,6.8972,7.4735,6.544,ctrl
68,ctrl_sub009_music,sub009,non meditator,music,0.036171,0.035925,0.040787,0.036825,0.037471,6.2708,6.0235,6.7524,7.6408,26.6874,22.7235,21.6867,27.4279,28.1619,4.0893,4.1591,4.7615,4.1255,6.5788,7.8726,9.0199,6.591,7.128,8.8368,7.3233,7.2013,10.7897,9.5691,8.7758,10.3137,ctrl
69,ctrl_sub010_music,sub010,non meditator,music,0.036196,0.038162,0.038834,0.039318,0.038063,6.9554,7.2035,6.0606,6.053,26.2725,25.2402,27.4863,23.5121,23.7614,4.492,5.0436,5.0984,5.474,10.3319,7.8891,8.2483,10.1882,8.6363,8.6507,8.4495,8.392,6.1503,7.8316,8.7225,6.5096,ctrl
70,ctrl_sub011_music,sub011,non meditator,music,0.046887,0.041249,0.04055,0.039467,0.042119,6.1743,6.0653,5.8472,5.6556,23.7424,28.8159,25.0427,23.7522,22.3892,4.7052,4.2997,4.5388,4.3895,9.2988,8.6435,8.0719,9.243,8.1277,8.1556,8.7411,8.2811,7.6119,8.0162,7.9883,7.821,ctrl
71,ctrl_sub012_music,sub012,non meditator,music,0.04548,0.048727,0.042257,0.051697,0.047357,4.585,5.3047,5.0188,6.2076,21.1161,20.8875,25.8188,21.3117,31.982,4.4197,4.8174,4.1892,4.5917,6.5519,5.9576,9.1726,6.2929,7.9842,10.8639,6.6585,7.7708,9.3555,8.7612,10.803,9.8278,ctrl
72,ctrl_sub013_music,sub013,non meditator,music,0.048688,0.050904,0.04312,0.049246,0.048215,5.3436,5.9411,4.6127,4.843,20.7404,26.0073,30.1792,19.9836,23.8299,7.1785,7.3023,7.0204,7.8769,11.0842,7.1152,7.567,10.8583,8.0833,9.6644,7.3411,8.777,6.131,7.5347,8.8254,7.0184,ctrl
73,ctrl_sub014_music,sub014,non meditator,music,0.036672,0.035214,0.036971,0.038168,0.036778,6.4052,6.6724,7.1065,7.0063,27.1904,23.4924,23.55,26.2663,26.6913,5.8782,5.816,6.0703,6.2676,7.3063,8.4994,7.7491,7.5646,8.3641,8.5978,7.8352,8.9053,9.4219,8.155,8.3272,9.2743,ctrl
74,ctrl_sub017_music,sub017,non meditator,music,0.039452,0.0452,0.036972,0.038709,0.040307,6.4126,6.8264,5.4227,6.1477,24.8095,25.3247,30.6974,20.1344,23.8436,3.0627,3.4294,3.1962,3.2824,10.266,7.2049,8.3812,10.4665,7.5792,9.5041,7.0178,7.8866,6.9108,8.3545,9.3437,7.0846,ctrl
75,ctrl_sub018_music,sub018,non meditator,music,0.028487,0.029143,0.026065,0.026221,0.027381,8.8437,8.1487,9.5839,9.9459,36.5221,25.1262,23.6502,25.066,26.1576,5.2905,5.4675,5.4282,5.8288,7.0366,8.7626,8.4086,6.9747,6.9393,8.3997,8.7095,7.1075,10.4266,8.5236,8.1696,10.5417,ctrl
76,ctrl_sub019_music,sub019,non meditator,music,0.047189,0.050157,0.053809,0.055873,0.051825,4.7089,4.6182,5.2408,4.7277,19.2956,22.3022,23.1921,28.1617,26.3439,8.399,8.456,8.9568,9.8507,7.5251,8.8226,8.0603,7.6387,8.7577,7.5414,9.3578,8.8874,8.9037,7.4116,7.5089,9.5848,ctrl
77,ctrl_sub020_music,sub020,non meditator,music,0.038012,0.038061,0.041468,0.034828,0.038131,6.3035,7.2012,6.5174,6.203,26.2252,23.9649,27.4113,26.918,21.7058,6.2102,6.1603,6.7683,6.3728,9.0909,7.9035,7.0501,9.4743,9.3259,8.658,7.5943,9.3259,7.9406,6.9511,9.0538,7.6314,ctrl
78,ctrl_sub021_music,sub021,non meditator,music,0.045796,0.04441,0.043635,0.047347,0.045296,5.749,5.3305,5.5791,5.4186,22.0771,26.316,23.6924,24.3831,25.6084,4.4096,4.2214,4.3664,5.0928,7.7263,9.2373,9.0663,8.1967,7.9686,7.9829,9.3799,8.3963,7.4982,8.4676,8.0257,8.0542,ctrl
79,ctrl_sub022_music,sub022,non meditator,music,0.045108,0.042685,0.035243,0.037092,0.040088,6.2324,6.207,5.3801,7.1259,24.9453,27.9645,26.4181,19.0846,26.5328,7.8069,7.5126,6.6287,6.6507,7.966,6.5557,10.4561,8.1311,6.7844,9.9733,6.8987,6.5176,8.1438,9.9606,10.3926,8.22,ctrl
80,ctrl_sub023_music,sub023,non meditator,music,0.051873,0.048589,0.055931,0.050003,0.051728,4.7915,4.6899,5.2317,4.6188,19.332,24.8523,22.8427,29.1799,23.1251,4.5521,4.8059,5.0062,5.1955,7.9571,9.1165,7.6761,7.5356,8.9935,7.7815,9.7488,8.8881,8.3963,7.5004,7.395,9.0111,ctrl
81,ctrl_sub025_music,sub025,non meditator,music,0.043205,0.043663,0.046541,0.042365,0.044013,5.2048,5.5641,6.1904,5.7612,22.7205,22.5054,24.3028,28.743,24.4488,5.2395,5.2161,5.5679,5.4739,7.2099,8.4418,7.2519,7.0139,9.0998,8.3718,7.9378,9.5618,9.7438,7.9518,7.7138,9.7018,ctrl
82,ctrl_sub026_music,sub026,non meditator,music,0.045829,0.042691,0.052616,0.046418,0.047112,5.0062,4.968,5.8379,5.4141,21.2262,22.9693,21.2984,30.5858,25.1464,4.7226,4.4399,5.0206,4.875,7.2588,8.3108,8.0403,6.5675,9.3027,7.5293,9.2426,8.2807,9.9639,7.7698,7.875,9.8587,ctrl
83,ctrl_sub027_music,sub027,non meditator,music,0.040391,0.035704,0.033796,0.033864,0.036187,7.9436,6.9401,6.3515,6.3991,27.6343,31.9106,24.7963,21.5454,21.7478,4.9629,4.9947,5.0761,5.0638,10.8698,8.8711,8.9821,11.1289,7.1684,6.8353,8.5626,7.0697,7.3535,9.0932,7.1684,6.897,ctrl
84,ctrl_sub028_music,sub028,non meditator,music,0.04158,0.038469,0.038338,0.03558,0.038541,6.6046,6.7493,6.422,6.1705,25.9462,27.3625,25.9659,24.6269,22.0447,5.0829,4.6264,4.7188,4.8239,8.9105,8.5775,7.9382,8.9771,8.7773,8.2579,8.1913,8.9638,7.6052,8.2978,8.098,7.4054,ctrl
85,ctrl_sub029_music,sub029,non meditator,music,0.043945,0.040342,0.043935,0.050739,0.045124,5.6864,4.7381,5.3691,6.3674,22.1611,25.0174,19.2104,23.6164,32.1558,3.6546,3.5211,3.8334,4.0689,7.2616,8.0039,10.4405,6.8904,6.2127,8.2621,8.0039,6.1804,10.0371,10.8117,7.8909,10.0048,ctrl
86,ctrl_sub030_music,sub030,non meditator,music,0.051197,0.061097,0.049916,0.053267,0.053925,4.4854,4.6401,4.4274,4.9913,18.5442,23.0076,28.2305,22.1631,26.5987,5.7293,6.4681,5.5468,5.6674,8.1679,7.1404,8.8471,8.0634,7.5235,9.4566,7.628,7.6454,8.6555,8.4639,9.178,9.2302,ctrl
87,ctrl_sub031_music,sub031,non meditator,music,0.053284,0.047079,0.053456,0.05719,0.052889,4.8645,4.3011,5.0448,4.6971,18.9076,25.9131,20.3405,26.9573,26.7891,6.4287,5.9497,6.7397,6.8518,8.1487,9.6659,7.927,7.569,7.4327,7.7395,10.0239,7.4327,9.2056,8.1316,7.177,9.5465,ctrl
88,ctrl_sub032_music,sub032,non meditator,music,0.077572,0.063876,0.06839,0.069016,0.069828,3.7231,3.5379,3.2648,3.7953,14.321,28.8002,22.657,22.3408,26.2019,9.1562,8.1664,7.8439,8.6562,7.9623,8.3352,9.6951,7.9842,7.063,9.6512,8.2913,7.3481,7.1726,9.739,9.3661,7.392,ctrl
89,ctrl_sub201_music,sub201,meditator,music,0.047538,0.051105,0.051161,0.050319,0.050152,4.2516,5.1729,5.2542,5.2608,19.9394,20.2536,26.4171,26.861,26.4684,6.1593,6.4498,6.4947,6.5093,6.9524,7.0669,7.2632,7.4104,9.2753,9.2753,6.7888,9.6843,9.8806,7.0996,9.3244,9.9787,ctrl
90,ctrl_sub204_music,sub204,meditator,music,0.051403,0.065923,0.055482,0.0503,0.055603,4.084,4.2387,4.7567,4.9052,17.9846,21.0523,27.7909,26.3933,24.7634,6.0673,7.5957,6.162,5.9084,6.3456,7.8397,8.5428,6.3104,8.4022,8.8416,7.6639,8.8944,9.8963,8.7186,8.3319,10.2127,ctrl
91,ctrl_sub205_music,sub205,meditator,music,0.064372,0.060709,0.055848,0.060736,0.06043,4.2073,4.0873,4.1442,4.1094,16.5482,27.03,24.8101,23.205,24.9549,7.0784,7.5567,7.5883,8.5987,7.9229,9.2402,8.2856,7.942,8.0756,8.6865,9.0493,8.1138,7.8847,8.4192,8.6483,7.732,ctrl
92,ctrl_sub206_music,sub206,meditator,music,0.044233,0.042915,0.044587,0.050043,0.045676,4.8576,5.3079,5.4171,6.3108,21.8934,21.5162,22.8404,24.1777,31.4657,5.5231,5.4966,5.9368,5.7918,6.4923,6.5553,9.1711,6.6814,8.4463,9.1396,6.5868,7.5953,10.5578,8.8245,10.1166,9.833,ctrl
93,ctrl_sub207_music,sub207,meditator,music,0.040959,0.042924,0.04344,0.041812,0.042344,5.2574,6.4243,6.09,5.8441,23.6158,21.5667,27.5591,26.4249,24.4493,4.1959,4.2207,4.4743,4.3296,7.5042,7.657,7.1012,7.8238,10.0334,9.3663,7.393,10.1028,8.2824,7.0456,9.6026,8.0878,ctrl
94,ctrl_sub208_music,sub208,meditator,music,0.031878,0.032483,0.034318,0.035582,0.033611,7.1789,7.4268,7.1479,7.9984,29.752,22.9549,24.1716,24.5018,28.3716,3.0662,3.0971,3.466,3.3889,8.6513,6.819,8.6397,8.4541,7.5496,8.976,7.2597,7.5148,9.2543,8.4309,8.8136,9.637,ctrl
95,ctrl_sub209_music,sub209,meditator,music,0.05939,0.054971,0.049471,0.050802,0.053937,5.1009,4.737,4.0813,4.6209,18.5401,30.1947,26.0221,20.256,23.5272,5.7405,5.633,5.4145,5.5906,9.8341,8.26,9.411,10.2742,6.8551,8.4292,8.023,6.889,7.0921,9.1909,8.8355,6.9059,ctrl
96,ctrl_sub210_music,sub210,meditator,music,0.046377,0.053711,0.051105,0.045429,0.049284,5.041,5.4201,5.0305,4.7988,20.2904,23.436,29.0186,25.6727,21.8727,3.9449,4.1883,4.6586,4.0568,9.369,8.1523,7.3179,9.2473,8.6737,8.7954,8.1697,9.0909,7.5613,7.4048,8.2739,7.9437,ctrl
97,ctrl_sub211_music,sub211,meditator,music,0.037331,0.039247,0.040779,0.034488,0.038056,6.5074,6.5836,6.9806,6.2057,26.2772,24.3164,25.7997,28.3711,21.5128,3.5793,4.1238,4.0532,3.6421,8.0633,8.825,7.8699,7.882,9.4052,7.7732,9.3206,9.2602,7.9787,7.5556,7.7249,8.3414,ctrl
98,ctrl_sub212_music,sub212,meditator,music,0.035588,0.031106,0.037333,0.035591,0.035083,6.9351,6.4694,8.3558,6.7434,28.5038,24.6619,20.2624,31.0935,23.9821,4.6549,4.5223,4.8011,4.9924,7.0452,10.1119,7.2109,6.9623,8.9791,6.7413,10.2915,9.3659,9.6698,7.059,6.2716,10.2915,ctrl
99,ctrl_sub213_music,sub213,meditator,music,0.053659,0.051203,0.056853,0.044237,0.051856,5.0424,4.4775,5.4073,4.357,19.2842,27.0232,22.9374,30.6421,19.3973,7.4415,7.0367,7.6022,6.884,8.5804,10.5731,7.0158,7.4275,8.8109,6.9499,11.3801,8.004,8.6462,7.3287,6.637,8.6462,ctrl
100,ctrl_sub214_music,sub214,meditator,music,0.040748,0.039493,0.043428,0.036568,0.040151,6.2591,5.9192,6.6711,6.0565,24.9059,25.487,23.3952,28.8674,22.2505,4.6183,4.8273,5.3307,4.6576,7.9762,9.0821,8.073,7.9348,8.7918,7.0224,8.8609,8.6951,9.248,8.3218,7.0639,8.9301,ctrl
101,ctrl_sub215_music,sub215,meditator,music,0.047353,0.052669,0.042372,0.050979,0.04871,4.743,5.5296,4.5,5.7571,20.5297,22.4846,29.0377,19.1799,29.2977,6.5197,7.1542,6.7223,6.7999,8.0612,5.8901,9.2128,8.0989,7.4004,11.4404,5.9845,8.5331,7.4193,9.024,10.3266,8.6086,ctrl
102,ctrl_sub216_music,sub216,meditator,music,0.042183,0.038855,0.040021,0.03996,0.040273,6.2827,5.956,6.324,6.2677,24.8304,26.4456,23.182,25.3172,25.0553,4.9776,4.4788,5.0062,5.2835,7.8863,8.7525,8.6309,7.9015,8.1447,7.9319,8.5397,8.2966,8.6613,8.8892,7.8408,8.5245,ctrl
103,ctrl_sub217_music,sub217,meditator,music,0.050782,0.047289,0.040088,0.043822,0.045729,6.0793,5.2791,5.0661,5.4436,21.8681,30.7434,24.9294,20.4286,23.8986,7.3657,7.9334,6.7819,7.0151,9.2762,8.5968,9.8966,9.3648,7.0753,7.7105,8.5081,7.4003,7.2674,9.9261,7.4594,7.5185,ctrl
104,ctrl_sub218_music,sub218,meditator,music,0.035611,0.035256,0.037356,0.035718,0.036015,6.7875,6.6085,7.3519,7.0181,27.7659,24.185,23.3254,27.4119,25.0778,3.2984,3.3149,3.4987,3.3625,7.6004,8.7449,8.0856,7.3517,8.5334,7.8617,8.521,8.6578,9.342,8.5334,7.5258,9.2424,ctrl
105,ctrl_sub219_music,sub219,meditator,music,0.049764,0.057281,0.058353,0.048269,0.05353,4.5919,5.1314,4.479,4.479,18.6813,22.9133,29.3239,26.0584,21.7045,6.1778,7.3356,8.0244,6.6802,8.7168,7.4404,8.4313,9.0024,9.4726,9.0024,7.0877,10.346,6.5334,8.4817,8.4145,7.0709,ctrl
106,ctrl_sub220_music,sub220,meditator,music,0.049503,0.050175,0.052274,0.051983,0.05099,4.8289,4.9377,4.9377,4.9071,19.6115,23.9316,24.7902,25.7876,25.4905,5.7697,5.9273,6.8105,6.5357,7.7432,8.8916,7.9868,8.039,8.1782,8.996,8.5088,8.5784,8.039,8.0738,8.8916,8.0738,ctrl
107,ctrl_sub221_music,sub221,meditator,music,0.046001,0.042064,0.043961,0.044982,0.044318,5.9926,5.2475,5.6686,5.6557,22.5644,27.5229,22.1244,24.9287,25.424,5.4718,5.3492,5.4248,5.6637,7.9885,9.1379,9.4253,8.5201,7.5431,7.1983,9.0805,7.6006,8.4339,8.9655,7.6724,8.4339,ctrl
108,ctrl_sub222_music,sub222,meditator,music,0.04557,0.041845,0.042729,0.043363,0.043414,5.9101,5.5028,5.5615,6.0599,23.0343,26.876,23.0645,23.7802,26.2793,3.8644,3.6361,3.7242,3.9047,8.0702,8.141,9.4436,8.4525,7.4331,7.9994,7.8154,7.4756,8.8489,9.4011,8.3392,8.5799,ctrl
109,ctrl_sub223_music,sub223,meditator,music,0.035757,0.031584,0.029998,0.033397,0.032711,7.5785,7.2325,7.5752,8.1848,30.571,26.9651,22.8899,22.8427,27.3023,5.0342,4.6085,4.2692,4.7821,7.4018,8.3189,9.0958,7.4881,7.4881,8.675,8.3405,7.391,9.0311,8.9555,8.8584,8.9555,ctrl
110,ctrl_sub224_music,sub224,meditator,music,0.045291,0.041649,0.039909,0.038785,0.041559,6.6111,6.0726,5.6484,5.73,24.0622,29.829,25.2892,22.585,22.2967,4.3588,4.2859,4.1766,4.2674,9.9538,8.6366,8.881,10.0625,7.3601,7.8354,8.7724,7.591,7.1293,8.5959,7.686,7.4959,ctrl
111,ctrl_sub225_music,sub225,meditator,music,0.049202,0.04953,0.048,0.048685,0.048884,5.12,5.4974,4.7193,5.12,20.4568,25.1852,27.2148,22.669,24.931,6.315,6.4949,6.5648,6.5984,9.4055,7.6085,8.0482,9.5775,7.9335,9.329,7.3217,8.0673,7.685,8.182,9.329,7.5129,ctrl
112,ctrl_sub226_music,sub226,meditator,music,0.054674,0.054178,0.046536,0.052485,0.052199,4.9008,5.1362,4.1872,4.9334,19.1576,26.7498,27.7894,19.5733,25.8875,7.322,6.8133,6.6738,7.1006,9.4633,6.3152,9.7857,9.1599,8.3634,9.2547,7.472,7.6806,6.7324,8.9513,9.634,7.1876,ctrl
113,ctrl_sub227_music,sub227,meditator,music,0.035142,0.035098,0.038455,0.037464,0.036623,6.534,6.3678,7.3321,7.0716,27.3055,23.0118,22.4001,28.126,26.4622,2.7125,2.6941,2.954,2.9749,6.7386,9.1409,8.0822,7.0236,8.1433,8.1637,8.6523,8.5708,9.6295,8.2655,8.0619,9.5277,ctrl
114,ctrl_sub228_music,sub228,meditator,music,0.071844,0.068462,0.062686,0.066074,0.067496,3.9452,3.9577,3.2903,3.6224,14.8157,28.2947,27.0846,20.6709,23.9499,8.9579,8.8698,8.5079,9.123,10.3726,7.282,8.9966,9.6952,7.5995,9.42,7.8323,8.3404,6.0119,9.1025,8.0229,7.3243,ctrl
115,ctrl_sub229_music,sub229,meditator,music,0.047764,0.044728,0.042231,0.037584,0.04338,6.3611,5.8503,5.8218,5.0191,23.0523,30.2601,26.1324,24.6154,18.992,7.3043,7.1509,7.2866,6.8602,10.1336,9.4864,7.9857,9.748,8.7429,6.8842,9.7618,8.5777,6.898,8.0821,6.6777,7.0219,ctrl
116,ctrl_sub230_music,sub230,meditator,music,0.0446,0.051447,0.039591,0.045251,0.045451,5.6161,5.9299,5.0678,5.3879,22.0016,25.0682,30.3577,20.1891,24.3851,5.9312,6.7989,5.9632,5.9871,9.8141,7.2777,8.4306,9.3385,9.0935,8.5315,7.5659,7.9118,7.5371,8.618,9.2232,6.658,ctrl
